window_start,window_open,btc_final,actual_outcome,correct_at_30s,btc_at_30s,poly_price_30s,correct_at_60s,btc_at_60s,poly_price_60s,ev_at_60s,correct_at_90s,btc_at_90s,poly_price_90s,correct_at_120s,btc_at_120s,poly_price_120s,ev_at_120s,correct_at_180s,btc_at_180s,poly_price_180s,ev_at_180s
1774520100,69579.23,69661.65,Up,True,69636.8,0.79,True,69631.52,0.79,False,True,69634.37,0.77,True,69657.66,0.89,False,True,69654.12,0.94,False
1774520400,69661.65,69681.38,Up,False,69642.59,0.5900000000000001,False,69653.55,0.49,True,True,69675.99,0.8,True,69694.0,0.83,False,True,69691.81,0.85,False
1774520700,69686.18,69661.46,Down,True,69685.27,0.47,True,69685.27,0.48,True,True,69685.21,0.45999999999999996,False,69694.26,0.58,True,False,69690.65,0.65,True
1774521000,69661.45,69616.68,Down,True,69630.0,0.74,True,69622.6,0.7,True,True,69660.9,0.5,True,69624.36,0.78,False,True,69642.64,0.65,True
1774521300,69618.89,69540.95,Down,True,69600.0,0.52,False,69628.71,0.69,True,False,69623.67,0.62,False,69633.71,0.78,False,False,69623.73,0.66,True
1774521600,69533.5,69548.18,Up,True,69561.86,0.72,True,69553.63,0.66,True,True,69561.94,0.64,True,69557.65,0.69,True,True,69557.62,0.74,True
1774521900,69548.18,69556.19,Up,True,69572.0,0.64,True,69572.89,0.64,True,False,69546.46,0.47,False,69526.12,0.71,True,False,69513.67,0.83,False
1774522200,69556.19,69498.58,Down,True,69541.12,0.55,False,69557.85,0.52,True,True,69533.18,0.6599999999999999,False,69559.7,0.5,True,True,69549.15,0.53,True
1774522500,69498.58,69517.67,Up,True,69500.1,0.5,True,69508.49,0.53,True,True,69499.08,0.45,False,69489.89,0.64,True,False,69475.44,0.74,True
1774522800,69517.68,69633.0,Up,False,69510.22,0.52,False,69515.38,0.51,True,True,69567.52,0.83,True,69575.56,0.88,False,True,69591.89,0.94,False
1774523100,69628.54,69621.99,Down,True,69624.5,0.5700000000000001,True,69622.21,0.56,True,False,69632.26,0.51,True,69588.63,0.8,False,True,69553.49,0.96,False
1774523400,69622.0,69566.06,Down,False,69625.87,0.51,True,69619.76,0.5700000000000001,True,True,69559.47,0.88,True,69569.98,0.81,False,True,69550.24,0.9299999999999999,False
1774523700,69566.06,69533.71,Down,False,69576.75,0.57,False,69566.07,0.5,True,True,69547.34,0.56,True,69520.45,0.8,False,True,69530.84,0.8200000000000001,True
1774524000,69537.57,69363.44,Down,True,69530.41,0.47,True,69470.0,0.83,False,True,69471.09,0.8200000000000001,True,69451.78,0.9,False,True,69434.41,0.97,False
1774524300,69363.44,69321.37,Down,False,69381.32,0.6,True,69296.01,0.8,False,True,69272.6,0.85,True,69249.26,0.91,False,True,69277.06,0.9299999999999999,False
1774524600,69321.37,69366.99,Up,True,69403.06,0.79,True,69427.67,0.87,False,True,69379.01,0.77,True,69386.85,0.82,False,True,69368.87,0.77,True
1774524900,69366.99,69439.96,Up,True,69394.32,0.65,False,69356.11,0.55,True,True,69367.21,0.5,False,69366.89,0.52,True,True,69411.72,0.82,True
1774525200,69439.96,69398.0,Down,True,69428.61,0.55,False,69442.99,0.57,True,False,69457.97,0.67,False,69450.0,0.62,True,True,69425.63,0.6599999999999999,True
1774525500,69398.0,69371.33,Down,True,69398.0,0.5,False,69419.35,0.64,True,False,69422.41,0.64,False,69410.86,0.61,True,False,69430.47,0.8,True
1774525800,69371.34,69393.47,Up,False,69364.34,0.5700000000000001,False,69356.83,0.63,True,False,69356.85,0.61,False,69353.46,0.62,True,True,69374.27,0.6,True
1774526100,69393.46,69276.01,Down,True,69378.45,0.64,True,69358.56,0.78,False,True,69343.02,0.84,True,69337.48,0.88,False,True,69282.67,0.97,False
1774526400,69276.01,69333.76,Up,False,69250.3,0.64,False,69241.8,0.7,True,False,69248.73,0.6599999999999999,False,69258.48,0.5700000000000001,True,True,69329.64,0.86,False
1774526700,69333.77,69367.42,Up,True,69346.61,0.55,False,69282.29,0.79,False,False,69260.25,0.79,False,69298.08,0.6799999999999999,True,True,69341.79,0.52,True
1774527000,69367.43,69375.24,Up,True,69383.11,0.58,True,69385.02,0.6,True,True,69402.5,0.77,True,69408.44,0.74,True,True,69376.93,0.53,True
1774527300,69375.23,69358.69,Down,False,69375.24,0.5,False,69386.7,0.59,True,False,69392.24,0.58,True,69365.95,0.56,True,False,69384.75,0.71,True
